epoch,train_loss,val_loss,grad_norm,duration_sec
1,0.0082,0.0040,0.2070,3022.1445
2,0.0033,0.0030,0.1070,3020.7512
3,0.0029,0.0028,0.0940,3024.0840
4,0.0026,0.0032,0.0870,3020.7468
5,0.0025,0.0027,0.0810,3023.9034
6,0.0023,0.0025,0.0760,3021.4338
7,0.0023,0.0026,0.0710,3022.9455
8,0.0022,0.0025,0.0670,3020.9229
9,0.0023,0.0024,0.0640,3023.5566
10,0.0021,0.0024,0.0610,3020.9868
11,0.0021,0.0023,0.0580,3024.7811
12,0.0021,0.0023,0.0560,3023.4760
13,0.0021,0.0023,0.0530,3025.6191
14,0.0020,0.0023,0.0510,3023.7587
15,0.0019,0.0023,0.0470,3025.5255
16,0.0020,0.0022,0.0460,3024.4341
17,0.0020,0.0022,0.0430,3021.8494
18,0.0019,0.0022,0.0420,3023.9534
19,0.0019,0.0022,0.0400,3021.7641
20,0.0019,0.0023,0.0390,3022.1773
21,0.0019,0.0022,0.0370,3024.5750
22,0.0019,0.0022,0.0360,3024.8210
23,0.0019,0.0022,0.0350,3025.0836
24,0.0019,0.0023,0.0340,3025.3863
25,0.0019,0.0022,0.0330,3024.6925
26,0.0019,0.0022,0.0330,3025.8513
27,0.0019,0.0022,0.0320,3024.3615
28,0.0018,0.0022,0.0310,3025.9013
29,0.0019,0.0022,0.0300,3026.0650
30,0.0018,0.0023,0.0300,3026.1479
31,0.0019,0.0022,0.0300,3027.3832
32,0.0018,0.0022,0.0280,3025.5178
33,0.0019,0.0022,0.0280,3024.8722
34,0.0019,0.0022,0.0280,3026.0525
35,0.0018,0.0022,0.0260,3025.3522
36,0.0018,0.0022,0.0260,3026.5325
37,0.0019,0.0021,0.0270,3026.2948
38,0.0018,0.0022,0.0260,3024.4850
39,0.0019,0.0022,0.0280,3025.9782
40,0.0018,0.0022,0.0290,3024.9939
41,0.0018,0.0022,0.0260,3025.0055
42,0.0018,0.0022,0.0270,3024.4742
43,0.0018,0.0022,0.0250,3026.3937
44,0.0018,0.0022,0.0270,3024.7713
45,0.0018,0.0022,0.0250,3025.8174
46,0.0018,0.0022,0.0260,3025.2902
47,0.0019,0.0023,0.0250,3025.0215
48,0.0018,0.0022,0.0250,3025.0008
49,0.0019,0.0022,0.0320,3025.6861
50,0.0018,0.0022,0.0260,3024.7094
51,0.0018,0.0022,0.0260,3025.0075
52,0.0019,0.0022,0.0270,3026.1119
53,0.0018,0.0022,0.0270,3024.3716
54,0.0018,0.0022,0.0210,3024.4773
55,0.0018,0.0022,0.0260,3025.7482
56,0.0018,0.0022,0.0240,3024.7742
57,0.0018,0.0023,0.0250,3026.1364
58,0.0019,0.0023,0.0230,3025.8069
59,0.0018,0.0022,0.0230,3024.5159
60,0.0018,0.0024,0.0240,3025.4799
61,0.0017,0.0022,0.0210,3024.9777
62,0.0018,0.0022,0.0220,3024.6637
63,0.0018,0.0022,0.0230,3025.1673
64,0.0018,0.0022,0.0230,3024.5741
65,0.0017,0.0023,0.0240,3024.8795
66,0.0018,0.0023,0.0230,3025.9840
67,0.0018,0.0022,0.0250,3025.5055
68,0.0018,0.0023,0.0280,3026.2692
69,0.0018,0.0023,0.0270,3026.1480
70,0.0018,0.0023,0.0220,3024.4721
71,0.0017,0.0022,0.0240,3024.7844
72,0.0018,0.0022,0.0260,3025.7941
73,0.0018,0.0023,0.0240,3024.2064
74,0.0018,0.0023,0.0260,3024.0443
75,0.0017,0.0023,0.0250,3024.2529
76,0.0018,0.0023,0.0260,3025.6793
77,0.0019,0.0022,0.0210,3025.2845
78,0.0018,0.0022,0.0220,3024.8985
79,0.0018,0.0022,0.0220,3024.5881
80,0.0018,0.0023,0.0230,3023.9320
81,0.0018,0.0023,0.0250,3025.6463
82,0.0019,0.0024,0.0330,3024.3803
83,0.0018,0.0022,0.0260,3024.0949
84,0.0018,0.0023,0.0240,3024.6160
85,0.0018,0.0023,0.0240,3025.4267
86,0.0018,0.0023,0.0270,3024.1492
87,0.0018,0.0023,0.0320,3023.9519
88,0.0018,0.0023,0.0300,3024.4205
89,0.0017,0.0023,0.0250,3024.4840
90,0.0019,0.0023,0.0360,3024.2692
91,0.0019,0.0023,0.0310,3123.5414
92,0.0019,0.0023,0.0290,3088.6503
93,0.0017,0.0023,0.0350,3026.9171
94,0.0018,0.0022,0.0480,3749.5817
95,0.0019,0.0023,0.0240,6400.5193
96,0.0017,0.0022,0.0310,6399.5633
97,0.0019,0.0023,0.0370,6396.3724
98,0.0018,0.0023,0.0320,6400.3189
99,0.0019,0.0022,0.0400,6402.7085
100,0.0019,0.0024,0.0380,6407.5000
