patient,full_mae,full_rmse,full_psnr_fix,full_psnr_paper,full_ssim,roi_mae,roi_rmse,roi_psnr_fix,roi_psnr_paper,roi_ssim,cbct_full_mae,cbct_roi_mae,roi_n_px
2BA007,37.2657,115.7143,30.9263,24.7529,0.8898,73.1581,161.1909,28.0472,21.8738,0.8048,99.9721,197.7654,8522188
2BA014,31.8565,98.1938,32.3523,26.1789,0.9133,67.6715,141.4767,29.1803,23.0069,0.8256,102.2804,219.5073,7548445
2BA028,26.1004,88.6946,33.2361,27.0627,0.9300,55.0956,124.8622,30.2654,24.0920,0.8708,119.6565,257.5493,7219049
2BA035,42.3427,134.5612,29.6156,23.4422,0.8711,97.4866,202.2547,26.0760,19.9026,0.7395,102.6569,238.7800,6839270
2BA049,32.9519,109.6546,31.3935,24.9032,0.9080,76.1156,166.1387,27.7846,21.2944,0.8234,31.9459,74.3657,6403126
2BA056,22.9062,80.5303,34.0748,27.9014,0.9314,51.4413,118.0924,30.7496,24.5762,0.8387,87.1472,201.6861,5874405
2BA063,31.5386,97.4889,32.4149,26.2415,0.9150,65.6813,139.5446,29.2998,23.1263,0.8256,110.8905,232.5902,7415877
2BA077,23.7887,83.6548,33.7442,27.5708,0.9413,60.0688,132.1755,29.7710,23.5976,0.8468,43.9206,111.8681,5073863
2BB007,34.9407,104.7319,31.7924,25.6190,0.9041,65.9967,143.9684,29.0287,22.8553,0.8332,168.5544,318.7104,6029042
2BB011,28.3796,90.5835,33.0530,26.8796,0.9385,57.9323,129.4112,29.9546,23.7812,0.8643,101.9240,208.3561,5575815
2BB017,34.9650,106.7667,31.6253,25.4519,0.9104,66.9898,147.8383,28.7983,22.6249,0.8478,155.5371,298.3329,5977299
2BB028,29.4947,90.2279,33.0872,26.9138,0.9334,58.7059,127.3350,30.0951,23.9216,0.8725,154.0850,307.0631,5260341
2BB049,31.8922,94.3911,32.6954,26.5220,0.9260,63.6851,133.4127,29.6901,23.5167,0.8610,148.9124,297.9896,5695446
2BB075,30.7613,91.1557,32.9983,26.6140,0.9238,59.0551,126.3369,30.1634,23.7791,0.8703,157.1797,301.9679,5968665
2BB109,31.0041,92.5540,32.8661,26.6927,0.9274,63.3451,132.3328,29.7607,23.5873,0.8570,155.2387,317.7494,5344812
2BB151,29.4674,89.4683,33.1606,26.9872,0.9326,61.0541,128.8119,29.9949,23.8215,0.8470,116.8250,242.7828,5513692
2BB175,39.1222,123.5311,30.3585,24.1851,0.8878,75.5310,171.6919,27.4990,21.3256,0.7978,136.3063,263.3704,5933185
2BB179,32.9058,100.1065,32.1848,26.0114,0.9120,67.7425,143.6826,29.0459,22.8725,0.8266,130.1971,268.3707,5593242
2BC007,24.6176,80.8557,34.0398,27.8664,0.9375,56.5028,122.3806,30.4398,24.2663,0.8631,33.4887,76.7400,6354109
2BC014,27.4017,90.4594,33.0650,26.8915,0.9286,60.5976,126.0031,30.1864,24.0130,0.8591,36.5308,83.9348,6084364
2BC021,35.6157,121.7942,30.4815,24.3081,0.9050,81.7255,184.4896,26.8746,20.7012,0.8014,43.5096,100.2153,7141927
2BC042,33.2327,104.2205,31.8350,25.6615,0.9043,68.6019,146.5368,28.8751,22.7017,0.8220,47.6493,100.1793,8043750
2BC070,23.6367,75.9635,34.5819,28.4085,0.9403,56.9344,116.9429,30.8345,24.6611,0.8720,31.8499,78.0393,5744861
